"","Western_Conference","W","L","W/L_percent","GB","PS/G","PA/G","SRS","Year"
"319","Minnesota Timberwolves*","47","35",".573","2.0","109.5","107.3","2.35",2018
"320","Denver Nuggets","46","36",".561","3.0","110.0","108.5","1.57",2018
"321","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2018
"322","Golden State Warriors*","58","24",".707","—","113.5","107.5","5.79",2018
"323","Los Angeles Clippers","42","40",".512","16.0","109.0","109.0","0.15",2018
"324","Los Angeles Lakers","35","47",".427","23.0","108.1","109.6","-1.44",2018
"325","Sacramento Kings","27","55",".329","31.0","98.8","105.8","-6.60",2018
"326","Phoenix Suns","21","61",".256","37.0","103.9","113.3","-8.80",2018
"327","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division",2018
"328","Houston Rockets*","65","17",".793","—","112.4","103.9","8.21",2018
"329","New Orleans Pelicans*","48","34",".585","17.0","111.7","110.4","1.48",2018
"330","San Antonio Spurs*","47","35",".573","18.0","102.7","99.8","2.89",2018
"331","Dallas Mavericks","24","58",".293","41.0","102.3","105.4","-2.70",2018
"332","Memphis Grizzlies","22","60",".268","43.0","99.3","105.5","-5.81",2018
"333","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division",2019
"334","Denver Nuggets*","54","28",".659","—","110.7","106.7","4.19",2019
"335","Portland Trail Blazers*","53","29",".646","1.0","114.7","110.5","4.43",2019
"336","Utah Jazz*","50","32",".610","4.0","111.7","106.5","5.28",2019
"337","Oklahoma City Thunder*","49","33",".598","5.0","114.5","111.1","3.56",2019
"338","Minnesota Timberwolves","36","46",".439","18.0","112.5","114.0","-1.02",2019
"339","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2019
"340","Golden State Warriors*","57","25",".695","—","117.7","111.2","6.42",2019
"341","Los Angeles Clippers*","48","34",".585","9.0","115.1","114.3","1.09",2019
"342","Sacramento Kings","39","43",".476","18.0","114.2","115.3","-0.81",2019
"343","Los Angeles Lakers","37","45",".451","20.0","111.8","113.5","-1.33",2019
"344","Phoenix Suns","19","63",".232","38.0","107.5","116.8","-8.61",2019
"345","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division",2019
"346","Houston Rockets*","53","29",".646","—","113.9","109.1","4.96",2019
"347","San Antonio Spurs*","48","34",".585","5.0","111.7","110.0","1.80",2019
"348","Memphis Grizzlies","33","49",".402","20.0","103.5","106.1","-2.08",2019
"349","New Orleans Pelicans","33","49",".402","20.0","115.4","116.8","-1.10",2019
"350","Dallas Mavericks","33","49",".402","20.0","108.9","110.1","-0.87",2019
"351","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division",2020
"352","Denver Nuggets*","46","27",".630","—","111.3","109.2","2.35",2020
"353","Oklahoma City Thunder*","44","28",".611","1.5","110.4","108.4","2.33",2020
"354","Utah Jazz*","44","28",".611","1.5","111.3","108.8","2.52",2020
"355","Portland Trail Blazers*","35","39",".473","11.5","115.0","116.1","-0.61",2020
"356","Minnesota Timberwolves","19","45",".297","22.5","113.3","117.5","-4.02",2020
"357","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2020
"358","Los Angeles Lakers*","52","19",".732","—","113.4","107.6","6.28",2020
"359","Los Angeles Clippers*","49","23",".681","3.5","116.3","109.9","6.66",2020
"360","Phoenix Suns","34","39",".466","19.0","113.6","113.4","0.56",2020
"361","Sacramento Kings","31","41",".431","21.5","110.1","112.1","-1.59",2020
"362","Golden State Warriors","15","50",".231","34.0","106.3","115.0","-8.12",2020
"363","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division",2020
"364","Houston Rockets*","44","28",".611","—","117.8","114.8","3.13",2020
"365","Dallas Mavericks*","43","32",".573","2.5","117.0","112.1","4.87",2020
"366","Memphis Grizzlies","34","39",".466","10.5","112.6","113.7","-0.91",2020
"367","San Antonio Spurs","32","39",".451","11.5","114.1","115.2","-0.65",2020
"368","New Orleans Pelicans","30","42",".417","14.0","115.8","117.1","-0.55",2020
"369","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division",2021
"370","Utah Jazz*","52","20",".722","—","116.4","107.2","8.97",2021
"371","Denver Nuggets*","47","25",".653","5.0","115.1","110.1","4.82",2021
"372","Portland Trail Blazers*","42","30",".583","10.0","116.1","114.3","1.81",2021
"373","Minnesota Timberwolves","23","49",".319","29.0","112.1","117.7","-5.25",2021
"374","Oklahoma City Thunder","22","50",".306","30.0","105.0","115.6","-10.13",2021
"375","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2021
"376","Phoenix Suns*","51","21",".708","—","115.3","109.5","5.67",2021
"377","Los Angeles Clippers*","47","25",".653","4.0","114.0","107.8","6.02",2021
"378","Los Angeles Lakers*","42","30",".583","9.0","109.5","106.8","2.77",2021
"379","Golden State Warriors","39","33",".542","12.0","113.7","112.7","1.10",2021
"380","Sacramento Kings","31","41",".431","20.0","113.7","117.4","-3.45",2021
"381","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division",2021
"382","Dallas Mavericks*","42","30",".583","—","112.4","110.2","2.26",2021
"383","Memphis Grizzlies*","38","34",".528","4.0","113.3","112.3","1.07",2021
"384","San Antonio Spurs","33","39",".458","9.0","111.1","112.8","-1.58",2021
"385","New Orleans Pelicans","31","41",".431","11.0","114.6","114.9","-0.20",2021
"386","Houston Rockets","17","55",".236","25.0","108.8","116.7","-7.50",2021
"387","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division",2022
"388","Utah Jazz*","49","33",".598","—","113.6","107.6","5.67",2022
"389","Denver Nuggets*","48","34",".585","1.0","112.7","110.4","2.16",2022
"390","Minnesota Timberwolves*","46","36",".561","3.0","115.9","113.3","2.53",2022
"391","Portland Trail Blazers","27","55",".329","22.0","106.2","115.1","-8.55",2022
"392","Oklahoma City Thunder","24","58",".293","25.0","103.7","111.8","-7.90",2022
"393","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2022
"394","Phoenix Suns*","64","18",".780","—","114.8","107.3","6.94",2022
"395","Golden State Warriors*","53","29",".646","11.0","111.0","105.5","5.52",2022
"396","Los Angeles Clippers","42","40",".512","22.0","108.4","108.4","0.09",2022
"397","Los Angeles Lakers","33","49",".402","31.0","112.1","115.1","-3.08",2022
"398","Sacramento Kings","30","52",".366","34.0","110.3","115.8","-5.26",2022
"399","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division",2022
"400","Memphis Grizzlies*","56","26",".683","—","115.6","109.9","5.37",2022
"401","Dallas Mavericks*","52","30",".634","4.0","108.0","104.7","3.12",2022
"402","New Orleans Pelicans*","36","46",".439","20.0","109.3","110.3","-0.84",2022
"403","San Antonio Spurs","34","48",".415","22.0","113.2","113.0","0.02",2022
"404","Houston Rockets","20","62",".244","36.0","109.7","118.2","-8.26",2022
"405","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division",2023
"406","Denver Nuggets* (1)","53","29",".646","—","115.8","112.5","3.04",2023
"407","Minnesota Timberwolves* (8)","42","40",".512","11.0","115.8","115.8","-0.22",2023
"408","Oklahoma City Thunder* (10)","40","42",".488","13.0","117.5","116.4","0.96",2023
"409","Utah Jazz (12)","37","45",".451","16.0","117.1","118.0","-1.03",2023
"410","Portland Trail Blazers (13)","33","49",".402","20.0","113.4","117.4","-3.96",2023
"411","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2023
"412","Sacramento Kings* (3)","48","34",".585","—","120.7","118.1","2.30",2023
"413","Phoenix Suns* (4)","45","37",".549","3.0","113.6","111.6","2.08",2023
"414","Los Angeles Clippers* (5)","44","38",".537","4.0","113.6","113.1","0.31",2023
"415","Golden State Warriors* (6)","44","38",".537","4.0","118.9","117.1","1.66",2023
"416","Los Angeles Lakers* (7)","43","39",".524","5.0","117.2","116.6","0.43",2023
"417","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division",2023
"418","Memphis Grizzlies* (2)","51","31",".622","—","116.9","113.0","3.60",2023
"419","New Orleans Pelicans* (9)","42","40",".512","9.0","114.4","112.5","1.63",2023
"420","Dallas Mavericks (11)","38","44",".463","13.0","114.2","114.1","-0.14",2023
"421","Houston Rockets (14)","22","60",".268","29.0","110.7","118.6","-7.62",2023
"422","San Antonio Spurs (15)","22","60",".268","29.0","113.0","123.1","-9.82",2023
