"","Rk","Team","Age","W","L","WL_percent","PW","PL","OPtg","DRtg","NRtg","Pace","FTr","3PAr","TS_percent","eFG_percent_offense","TOV_percent_offense","ORB_percent","FT/FGA_offense","eFG_percent_defense","TOV_percent_defense","DRB_percent","FT/FGA_defense","...24","...25","Year"
"146","1","Boston Celtics","28.9","16","10",".615","18","8","109.4","103.3","+6.1","85.9",".354",".224",".541",NA,".487","12.9","29.5",".277",NA,".463","14.4","74.6",".313",2008
"147","2","New Orleans Hornets","26.7","7","5",".583","8","4","111.5","107.3","+4.2","86.6",".250",".173",".537",NA,".499","8.9","24.2",".193",NA,".483","12.3","73.2",".235",2008
"148","3","Detroit Pistons","28.8","10","7",".588","10","7","108.0","105.2","+2.8","84.7",".320",".179",".538",NA,".485","13.2","27.7",".257",NA,".478","14.7","68.7",".275",2008
"149","4","Cleveland Cavaliers","27.1","7","6",".538","8","5","104.6","102.1","+2.5","85.9",".395",".262",".517",NA,".465","13.7","29.1",".285",NA,".460","13.4","75.2",".285",2008
"150","5","Los Angeles Lakers","27.4","14","7",".667","12","9","110.0","107.6","+2.4","92.7",".371",".241",".560",NA,".512","12.7","22.2",".279",NA,".477","12.3","71.1",".255",2008
"151","6","Orlando Magic","26.4","5","5",".500","6","4","111.0","109.2","+1.8","87.5",".322",".336",".564",NA,".529","14.4","29.0",".229",NA,".464","8.9","75.0",".226",2008
"152","7","Utah Jazz","25.4","6","6",".500","6","6","110.1","110.4","-0.3","89.1",".330",".204",".528",NA,".481","12.1","33.4",".247",NA,".490","12.2","73.7",".314",2008
"153","8","San Antonio Spurs","31.6","9","8",".529","8","9","103.9","104.8","-0.9","89.5",".261",".252",".529",NA,".493","12.6","21.4",".194",NA,".486","10.8","77.6",".197",2008
"154","9","Phoenix Suns","29.4","1","4",".200","2","3","104.1","106.1","-2.0","92.6",".369",".180",".524",NA,".492","11.5","21.9",".235",NA,".493","11.9","76.3",".216",2008
"155","10","Houston Rockets","29.0","2","4",".333","2","4","103.8","106.7","-2.9","84.8",".333",".254",".488",NA,".446","10.7","29.8",".227",NA,".482","12.4","69.3",".231",2008
"156","11","Washington Wizards","27.7","2","4",".333","2","4","104.9","108.7","-3.8","87.9",".386",".262",".524",NA,".466","12.3","23.4",".295",NA,".485","13.2","67.8",".265",2008
"157","12","Toronto Raptors","26.2","1","4",".200","2","3","110.1","115.2","-5.1","90.3",".224",".280",".528",NA,".484","9.6","23.1",".194",NA,".533","13.3","69.7",".260",2008
"158","13","Philadelphia 76ers","25.0","2","4",".333","2","4","99.8","107.9","-8.1","86.0",".402",".105",".488",NA,".430","14.4","33.9",".290",NA,".523","17.0","67.0",".188",2008
"159","14","Dallas Mavericks","29.6","1","4",".200","1","4","108.0","118.2","-10.2","87.0",".381",".264",".511",NA,".447","11.2","31.7",".299",NA,".527","8.4","75.5",".206",2008
"160","15","Denver Nuggets","27.9","0","4",".000","1","3","104.3","117.9","-13.6","97.4",".328",".203",".501",NA,".452","12.5","34.6",".243",NA,".536","10.7","74.1",".240",2008
"161","16","Atlanta Hawks","23.8","3","4",".429","1","6","101.6","115.6","-14.0","85.8",".441",".174",".512",NA,".439","15.7","30.5",".345",NA,".503","10.4","67.3",".206",2008
"162","","League Average","27.9","","","","5","5","107.4","107.4","","88.0",".337",".226",".532",NA,".484","12.6","27.2",".254",NA,".484","12.6","72.8",".254",2008
"163","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2009
"164","1","Cleveland Cavaliers","27.2","10","4",".714","11","3","112.6","102.7","+9.9","86.1",".383",".263",".556",NA,".507","12.3","27.6",".284",NA,".480","12.5","78.3",".230",2009
"165","2","Denver Nuggets","27.8","10","6",".625","12","4","116.8","107.5","+9.3","92.4",".426",".269",".579",NA,".526","11.5","26.4",".324",NA,".493","14.8","74.7",".326",2009
"166","3","Los Angeles Lakers","27.3","16","7",".696","17","6","111.4","103.5","+7.9","91.1",".342",".229",".553",NA,".508","12.3","27.1",".255",NA,".471","13.7","73.8",".270",2009
"167","4","Orlando Magic","27.3","13","11",".542","14","10","107.3","105.3","+2.0","89.2",".360",".309",".555",NA,".513","13.1","21.6",".260",NA,".488","12.7","77.2",".232",2009
"168","5","Miami Heat","25.6","3","4",".429","4","3","106.7","105.6","+1.1","82.6",".324",".287",".554",NA,".501","14.4","25.2",".265",NA,".464","12.5","73.1",".261",2009
"169","6","Boston Celtics","27.4","7","7",".500","7","7","106.3","106.3","0.0","91.4",".309",".222",".535",NA,".485","12.5","25.1",".245",NA,".493","13.3","77.8",".265",2009
"170","7","Dallas Mavericks","29.1","5","5",".500","5","5","113.0","114.0","-1.0","89.9",".375",".272",".576",NA,".518","12.8","24.7",".305",NA,".525","11.0","77.4",".271",2009
"171","8","Houston Rockets","26.9","7","6",".538","6","7","104.7","106.4","-1.7","87.4",".288",".265",".533",NA,".490","14.2","24.8",".221",NA,".487","11.6","73.7",".210",2009
"172","9","Chicago Bulls","25.5","3","4",".429","3","4","105.9","110.1","-4.2","92.6",".343",".221",".540",NA,".483","13.9","24.3",".277",NA,".495","11.6","73.2",".243",2009
"173","10","Portland Trail Blazers","24.5","2","4",".333","2","4","103.9","110.2","-6.3","83.9",".264",".190",".524",NA,".484","12.0","23.7",".201",NA,".517","12.8","76.1",".222",2009
"174","11","San Antonio Spurs","30.6","1","4",".200","1","4","105.4","112.4","-7.0","85.7",".269",".230",".528",NA,".495","11.4","21.3",".191",NA,".516","12.1","76.6",".274",2009
"175","12","Atlanta Hawks","26.2","4","7",".364","3","8","102.0","110.6","-8.6","82.4",".323",".238",".499",NA,".450","12.6","26.1",".241",NA,".514","14.4","69.8",".263",2009
"176","13","Philadelphia 76ers","26.6","2","4",".333","1","5","100.5","109.2","-8.7","88.0",".276",".211",".526",NA,".492","14.9","21.3",".196",NA,".514","12.9","74.2",".237",2009
"177","14","Utah Jazz","25.6","1","4",".200","1","4","104.2","114.1","-9.9","93.4",".373",".180",".517",NA,".463","13.4","30.4",".277",NA,".546","14.6","73.5",".271",2009
"178","15","Detroit Pistons","28.3","0","4",".000","0","4","93.6","112.2","-18.6","83.3",".188",".159",".468",NA,".429","11.9","19.7",".156",NA,".498","11.7","73.2",".349",2009
"179","16","New Orleans Hornets","28.3","1","4",".200","0","5","93.7","120.7","-27.0","89.8",".399",".262",".510",NA,".439","18.2","22.4",".322",NA,".563","12.3","73.5",".290",2009
"180","","League Average","27.2","","","","5","5","107.7","107.7","","88.7",".341",".249",".544",NA,".496","13.0","24.9",".259",NA,".496","13.0","75.1",".259",2009
"181","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2010
"182","1","Orlando Magic","28.0","10","4",".714","11","3","110.8","100.9","+9.9","86.5",".426",".380",".574",NA,".533","14.0","24.8",".299",NA,".458","13.6","77.3",".269",2010
"183","2","Phoenix Suns","28.9","10","6",".625","10","6","117.8","112.7","+5.1","90.9",".353",".307",".582",NA,".536","12.0","27.4",".273",NA,".512","11.1","72.6",".242",2010
"184","3","Los Angeles Lakers","29.0","16","7",".696","15","8","112.8","108.6","+4.2","89.6",".320",".255",".546",NA,".502","11.9","30.9",".241",NA,".475","12.0","72.4",".277",2010
"185","4","Boston Celtics","29.4","15","9",".625","14","10","104.8","101.7","+3.1","89.2",".341",".211",".539",NA,".491","13.8","23.1",".258",NA,".473","15.2","74.6",".285",2010
"186","5","Cleveland Cavaliers","29.2","6","5",".545","6","5","108.2","106.8","+1.4","92.6",".420",".277",".568",NA,".517","14.5","22.1",".311",NA,".481","11.0","75.7",".240",2010
"187","6","Dallas Mavericks","31.2","2","4",".333","3","3","105.1","105.6","-0.5","88.4",".294",".244",".518",NA,".468","12.7","28.1",".233",NA,".486","12.3","74.0",".224",2010
"188","7","Denver Nuggets","27.5","2","4",".333","3","3","113.9","115.1","-1.2","96.0",".469",".231",".577",NA,".517","12.6","25.8",".359",NA,".548","13.5","76.9",".357",2010
"189","8","Oklahoma City Thunder","22.9","2","4",".333","3","3","103.6","105.4","-1.8","90.6",".412",".236",".506",NA,".426","11.9","26.7",".344",NA,".488","12.4","73.6",".196",2010
"190","9","Utah Jazz","24.8","4","6",".400","4","6","114.0","116.4","-2.4","93.9",".421",".219",".568",NA,".520","12.3","26.5",".307",NA,".522","12.1","71.0",".327",2010
"191","10","San Antonio Spurs","29.1","4","6",".400","4","6","105.7","109.4","-3.7","90.9",".339",".181",".533",NA,".494","12.3","24.0",".236",NA,".499","12.7","73.6",".245",2010
"192","11","Milwaukee Bucks","27.8","3","4",".429","3","4","105.0","109.3","-4.3","85.7",".250",".268",".510",NA,".465","12.3","27.9",".201",NA,".482","11.9","66.9",".201",2010
"193","12","Atlanta Hawks","26.3","4","7",".364","3","8","104.3","112.2","-7.9","85.8",".276",".171",".501",NA,".453","11.6","29.8",".217",NA,".515","12.3","72.4",".224",2010
"194","13","Miami Heat","27.0","1","4",".200","1","4","96.2","105.2","-9.0","91.1",".241",".236",".513",NA,".479","17.3","22.6",".176",NA,".523","15.6","79.2",".266",2010
"195","14","Chicago Bulls","25.6","1","4",".200","1","4","105.0","115.0","-10.0","92.4",".265",".125",".504",NA,".457","9.4","25.0",".211",NA,".558","13.2","77.0",".249",2010
"196","15","Charlotte Bobcats","27.6","0","4",".000","1","3","100.2","111.0","-10.8","85.4",".362",".241",".523",NA,".477","15.9","23.0",".259",NA,".522","13.3","75.2",".335",2010
"197","16","Portland Trail Blazers","26.6","2","4",".333","1","5","106.5","118.3","-11.8","87.3",".364",".217",".522",NA,".471","11.0","26.5",".269",NA,".536","12.4","71.0",".247",2010
"198","","League Average","28.0","","","","5","5","108.6","108.6","","89.7",".349",".244",".543",NA,".496","12.8","26.3",".262",NA,".496","12.8","73.7",".262",2010
"199","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2011
"200","1","Dallas Mavericks","31.6","16","5",".762","15","6","112.9","106.3","+6.6","86.6",".339",".297",".571",NA,".519","13.0","25.1",".274",NA,".482","13.5","71.7",".245",2011
"201","2","Chicago Bulls","26.0","9","7",".563","11","5","105.8","100.9","+4.9","86.9",".288",".238",".510",NA,".461","13.1","32.3",".226",NA,".462","13.9","76.1",".256",2011
"202","3","Miami Heat","28.0","14","7",".667","13","8","106.4","103.4","+3.0","86.3",".379",".244",".542",NA,".485","13.9","26.0",".295",NA,".475","13.0","75.4",".215",2011
"203","4","Orlando Magic","27.2","2","4",".333","3","3","102.4","100.3","+2.1","86.6",".367",".310",".503",NA,".449","12.7","28.9",".270",NA,".465","13.1","76.6",".205",2011
"204","5","Oklahoma City Thunder","23.8","9","8",".529","10","7","109.5","107.5","+2.0","90.8",".393",".250",".548",NA,".482","14.2","31.3",".321",NA,".460","11.4","74.4",".305",2011
"205","6","Boston Celtics","29.9","5","4",".556","5","4","105.1","103.6","+1.5","89.1",".262",".208",".552",NA,".514","15.4","23.6",".204",NA,".466","14.2","72.1",".276",2011
"206","7","Memphis Grizzlies","26.2","7","6",".538","6","7","105.4","106.1","-0.7","90.0",".335",".144",".512",NA,".460","11.9","28.1",".255",NA,".482","14.3","72.2",".289",2011
"207","8","Los Angeles Lakers","30.1","4","6",".400","5","5","107.8","109.3","-1.5","86.5",".315",".213",".526",NA,".477","12.4","30.8",".244",NA,".524","13.7","78.8",".245",2011
"208","9","San Antonio Spurs","29.7","2","4",".333","2","4","102.2","105.6","-3.4","90.8",".369",".235",".526",NA,".471","13.8","23.6",".281",NA,".498","13.1","76.8",".238",2011
"209","10","Atlanta Hawks","26.7","6","6",".500","4","8","100.4","105.5","-5.1","85.9",".289",".184",".505",NA,".464","12.7","22.9",".210",NA,".470","12.4","70.6",".233",2011
"210","11","Denver Nuggets","26.4","1","4",".200","2","3","103.4","108.5","-5.1","94.2",".468",".239",".525",NA,".468","11.6","17.2",".330",NA,".468","12.5","70.8",".343",2011
"211","12","Portland Trail Blazers","27.6","2","4",".333","2","4","106.3","112.5","-6.2","83.0",".294",".228",".534",NA,".487","12.2","24.4",".230",NA,".507","12.5","71.5",".253",2011
"212","13","Indiana Pacers","25.4","1","4",".200","1","4","100.2","108.5","-8.3","90.0",".304",".192",".496",NA,".445","14.3","29.1",".234",NA,".461","14.8","63.2",".291",2011
"213","14","New Orleans Hornets","26.0","2","4",".333","2","4","104.7","113.1","-8.4","85.3",".360",".195",".537",NA,".488","13.4","21.2",".267",NA,".500","12.9","67.7",".295",2011
"214","15","Philadelphia 76ers","24.6","1","4",".200","1","4","100.7","109.3","-8.6","86.0",".213",".201",".485",NA,".453","10.6","23.9",".154",NA,".462","11.3","69.1",".303",2011
"215","16","New York Knicks","26.7","0","4",".000","1","3","99.0","108.2","-9.2","91.7",".298",".286",".483",NA,".435","14.0","30.7",".223",NA,".520","15.7","69.3",".174",2011
"216","","League Average","27.5","","","","5","5","106.0","106.0","","87.8",".334",".231",".529",NA,".478","13.2","26.9",".258",NA,".478","13.2","73.1",".258",2011
"217","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2012
"218","1","Miami Heat","28.8","16","7",".696","17","6","109.6","101.6","+8.0","88.0",".364",".258",".552",NA,".505","12.8","26.1",".271",NA,".466","14.0","74.0",".229",2012
"219","2","San Antonio Spurs","28.9","10","4",".714","10","4","110.3","103.9","+6.4","92.4",".290",".287",".574",NA,".541","13.8","21.8",".212",NA,".480","12.6","74.8",".216",2012
"220","3","Oklahoma City Thunder","25.7","13","7",".650","13","7","111.8","107.4","+4.4","90.6",".306",".240",".558",NA,".508","11.3","23.6",".251",NA,".491","13.7","74.7",".262",2012
"221","4","Indiana Pacers","26.4","6","5",".545","6","5","102.4","100.9","+1.5","88.0",".289",".225",".507",NA,".461","14.4","29.8",".223",NA,".469","13.2","75.2",".217",2012
"222","5","Boston Celtics","30.1","11","9",".550","11","9","100.4","99.2","+1.2","87.8",".280",".211",".516",NA,".468","13.0","20.1",".224",NA,".464","13.4","75.1",".203",2012
"223","6","Memphis Grizzlies","26.1","3","4",".429","4","3","102.8","102.0","+0.8","87.7",".403",".155",".509",NA,".449","14.7","32.6",".300",NA,".493","15.0","75.9",".244",2012
"224","7","Denver Nuggets","26.0","3","4",".429","4","3","107.1","106.6","+0.5","90.3",".227",".213",".492",NA,".460","10.2","33.0",".163",NA,".461","11.0","66.7",".186",2012
"225","8","Philadelphia 76ers","24.7","7","6",".538","6","7","96.9","98.3","-1.4","88.5",".312",".168",".482",NA,".436","11.5","23.9",".225",NA,".459","14.1","76.8",".198",2012
"226","9","Chicago Bulls","27.8","2","4",".333","3","3","95.7","97.6","-1.9","88.1",".229",".157",".475",NA,".448","13.9","26.8",".149",NA,".428","9.9","78.2",".248",2012
"227","10","Los Angeles Lakers","28.5","5","7",".417","4","8","105.4","110.0","-4.6","89.2",".285",".207",".502",NA,".454","11.8","31.0",".221",NA,".474","9.7","69.7",".200",2012
"228","11","Los Angeles Clippers","26.8","4","7",".364","4","7","101.3","106.5","-5.2","88.9",".315",".217",".530",NA,".499","14.7","22.2",".210",NA,".491","14.5","71.0",".268",2012
"229","12","Atlanta Hawks","28.1","2","4",".333","2","4","91.8","97.1","-5.3","87.9",".204",".237",".475",NA,".438","15.1","22.6",".160",NA,".461","13.0","82.3",".211",2012
"230","13","Dallas Mavericks","32.6","0","4",".000","1","3","102.9","110.1","-7.2","90.6",".343",".276",".519",NA,".455","13.9","24.7",".285",NA,".520","12.8","80.5",".265",2012
"231","14","Orlando Magic","27.8","1","4",".200","1","4","94.8","107.0","-12.2","86.6",".244",".316",".486",NA,".452","14.0","22.6",".172",NA,".480","13.3","68.4",".196",2012
"232","15","New York Knicks","27.9","1","4",".200","1","4","95.2","111.3","-16.1","86.9",".297",".248",".499",NA,".451","18.1","30.1",".226",NA,".511","13.7","74.1",".315",2012
"233","16","Utah Jazz","25.0","0","4",".000","0","4","93.9","111.3","-17.4","91.9",".306",".131",".443",NA,".395","12.2","32.0",".216",NA,".533","11.6","80.7",".213",2012
"234","","League Average","27.6","","","","5","5","103.6","103.6","","89.0",".300",".225",".520",NA,".476","13.1","25.6",".226",NA,".476","13.1","74.4",".226",2012
"235","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2013
"236","1","San Antonio Spurs","28.7","15","6",".714","15","6","108.7","101.1","+7.6","89.6",".261",".253",".547",NA,".511","12.3","23.3",".199",NA,".475","12.8","73.8",".162",2013
"237","2","Miami Heat","30.1","16","7",".696","17","6","110.2","102.9","+7.3","87.3",".303",".264",".559",NA,".518","13.1","25.2",".232",NA,".480","15.6","71.1",".237",2013
"238","3","New York Knicks","29.6","6","6",".500","7","5","101.4","98.3","+3.1","86.6",".222",".288",".498",NA,".460","11.5","24.2",".174",NA,".470","17.1","76.5",".276",2013
"239","4","Brooklyn Nets","28.5","3","4",".429","4","3","107.8","105.6","+2.2","88.3",".304",".232",".524",NA,".479","10.9","27.4",".230",NA,".497","12.4","74.0",".171",2013
"240","5","Oklahoma City Thunder","26.9","5","6",".455","6","5","105.1","103.7","+1.4","92.8",".295",".303",".534",NA,".479","12.9","23.0",".247",NA,".468","12.5","76.0",".254",2013
"241","6","Memphis Grizzlies","27.9","8","7",".533","8","7","105.0","104.3","+0.7","88.4",".357",".182",".502",NA,".447","10.2","27.2",".267",NA,".493","13.8","77.5",".219",2013
"242","7","Golden State Warriors","24.6","6","6",".500","6","6","106.4","106.2","+0.2","94.0",".258",".265",".546",NA,".513","14.9","27.5",".190",NA,".483","11.9","75.0",".234",2013
"243","8","Indiana Pacers","25.6","11","8",".579","10","9","104.5","104.4","+0.1","87.3",".384",".258",".528",NA,".475","15.9","32.4",".284",NA,".473","11.4","76.8",".222",2013
"244","9","Denver Nuggets","26.4","2","4",".333","2","4","105.9","110.2","-4.3","97.2",".350",".265",".526",NA,".479","12.9","26.3",".255",NA,".554","17.0","72.9",".209",2013
"245","10","Atlanta Hawks","27.3","2","4",".333","2","4","98.0","103.6","-5.6","91.2",".338",".241",".503",NA,".462","12.0","18.6",".231",NA,".455","14.4","70.0",".284",2013
"246","11","Boston Celtics","29.7","2","4",".333","2","4","92.9","98.9","-6.0","87.1",".312",".300",".525",NA,".463","18.1","14.0",".268",NA,".462","12.7","76.3",".170",2013
"247","12","Houston Rockets","25.4","2","4",".333","2","4","105.3","111.4","-6.1","95.0",".342",".416",".537",NA,".496","14.5","24.8",".243",NA,".511","12.0","77.2",".258",2013
"248","13","Los Angeles Clippers","29.1","2","4",".333","2","4","107.5","113.8","-6.3","88.0",".314",".254",".552",NA,".506","13.5","24.3",".246",NA,".486","10.2","73.3",".344",2013
"249","14","Chicago Bulls","27.5","5","7",".417","3","9","102.5","110.0","-7.5","87.4",".287",".213",".511",NA,".472","13.7","28.4",".206",NA,".501","11.9","74.5",".255",2013
"250","15","Milwaukee Bucks","26.1","0","4",".000","0","4","94.0","110.3","-16.3","90.7",".264",".300",".498",NA,".472","15.9","21.1",".166",NA,".544","16.5","70.7",".255",2013
"251","16","Los Angeles Lakers","29.2","0","4",".000","0","4","92.5","112.9","-20.4","92.1",".237",".237",".495",NA,".474","16.1","20.2",".144",NA,".527","9.8","78.3",".185",2013
"252","","League Average","27.8","","","","5","5","104.8","104.8","","89.5",".303",".259",".529",NA,".486","13.3","25.4",".227",NA,".486","13.3","74.6",".227",2013
"253","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2014
"254","1","San Antonio Spurs","29.6","16","7",".696","18","5","114.2","104.2","+10.0","92.7",".291",".267",".583",NA,".546","12.1","23.6",".223",NA,".492","13.4","77.2",".197",2014
"255","2","Los Angeles Clippers","28.2","6","7",".462","7","6","113.3","111.3","+2.0","96.0",".334",".302",".555",NA,".515","11.4","26.2",".244",NA,".521","14.9","70.4",".272",2014
"256","3","Miami Heat","31.1","13","7",".650","11","9","112.8","110.8","+2.0","86.2",".305",".326",".594",NA,".555","12.9","17.1",".238",NA,".539","14.2","75.3",".220",2014
"257","4","Washington Wizards","26.8","6","5",".545","6","5","102.0","100.9","+1.1","87.8",".285",".211",".504",NA,".468","12.5","27.9",".198",NA,".471","12.7","79.7",".227",2014
"258","5","Houston Rockets","25.2","2","4",".333","3","3","114.8","114.4","+0.4","92.7",".325",".280",".534",NA,".490","11.7","35.3",".242",NA,".507","10.6","72.8",".258",2014
"259","6","Atlanta Hawks","27.9","3","4",".429","3","4","101.9","103.0","-1.1","90.7",".316",".417",".515",NA,".456","13.1","20.4",".261",NA,".500","14.6","76.2",".220",2014
"260","7","Indiana Pacers","27.1","10","9",".526","9","10","103.7","104.8","-1.1","88.3",".314",".258",".540",NA,".500","13.8","21.1",".228",NA,".493","13.6","77.0",".218",2014
"261","8","Oklahoma City Thunder","26.6","10","9",".526","9","10","108.1","109.2","-1.1","92.3",".327",".287",".551",NA,".496","14.0","27.1",".268",NA,".485","10.5","74.2",".212",2014
"262","9","Brooklyn Nets","30.7","5","7",".417","5","7","110.5","112.0","-1.5","86.4",".330",".302",".555",NA,".514","12.5","25.1",".243",NA,".516","13.3","77.0",".306",2014
"263","10","Toronto Raptors","25.2","3","4",".429","3","4","108.2","110.0","-1.8","88.8",".391",".283",".553",NA,".486","15.0","26.8",".326",NA,".506","11.8","77.0",".291",2014
"264","11","Dallas Mavericks","31.3","3","4",".429","3","4","110.0","112.1","-2.1","92.0",".217",".259",".532",NA,".500","10.7","26.4",".166",NA,".542","13.4","76.6",".245",2014
"265","12","Golden State Warriors","26.2","3","4",".429","3","4","110.2","114.8","-4.6","96.6",".335",".316",".558",NA,".518","15.3","30.8",".244",NA,".529","12.9","72.1",".290",2014
"266","13","Chicago Bulls","28.6","1","4",".200","2","3","103.0","108.3","-5.3","85.6",".290",".244",".508",NA,".463","13.0","27.9",".219",NA,".479","10.2","72.2",".225",2014
"267","14","Memphis Grizzlies","29.7","3","4",".429","2","5","102.8","108.5","-5.7","88.8",".293",".173",".486",NA,".442","10.1","27.0",".214",NA,".483","14.1","69.0",".263",2014
"268","15","Portland Trail Blazers","25.8","5","6",".455","3","8","107.2","113.6","-6.4","94.6",".281",".260",".529",NA,".482","12.3","26.1",".224",NA,".508","10.4","70.6",".208",2014
"269","16","Charlotte Hornets","25.5","0","4",".000","1","3","101.5","112.3","-10.8","90.6",".312",".282",".537",NA,".500","14.9","20.8",".223",NA,".539","10.7","85.7",".260",2014
"270","","League Average","28.2","","","","6","6","108.7","108.7","","90.6",".308",".279",".548",NA,".505","12.8","24.9",".235",NA,".505","12.8","75.1",".235",2014
"271","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2015
"272","1","Golden State Warriors","26.4","16","5",".762","16","5","108.7","100.5","+8.2","93.7",".263",".362",".550",NA,".521","13.5","26.2",".184",NA,".458","13.1","75.3",".228",2015
"273","2","Cleveland Cavaliers","26.6","14","6",".700","13","7","107.4","103.1","+4.3","90.7",".325",".347",".524",NA,".479","12.0","28.1",".240",NA,".467","11.1","77.5",".209",2015
"274","3","Washington Wizards","27.5","6","4",".600","6","4","105.8","101.7","+4.1","94.6",".280",".276",".533",NA,".497","13.3","26.8",".202",NA,".470","12.2","77.2",".177",2015
"275","4","Chicago Bulls","28.7","6","6",".500","7","5","104.4","100.7","+3.7","90.4",".257",".294",".515",NA,".474","13.1","26.8",".199",NA,".452","11.8","74.3",".198",2015
"276","5","Los Angeles Clippers","28.8","7","7",".500","8","6","108.4","107.1","+1.3","98.7",".361",".300",".548",NA,".515","11.8","21.3",".241",NA,".505","12.5","75.0",".250",2015
"277","6","San Antonio Spurs","30.3","3","4",".429","4","3","107.8","107.3","+0.5","94.5",".298",".307",".536",NA,".505","11.2","24.8",".203",NA,".509","11.5","78.6",".224",2015
"278","7","Atlanta Hawks","27.7","8","8",".500","8","8","103.4","103.6","-0.2","93.5",".227",".335",".521",NA,".484","11.9","21.6",".178",NA,".486","12.9","74.7",".184",2015
"279","8","Memphis Grizzlies","30.3","6","5",".545","5","6","103.0","104.4","-1.4","91.9",".270",".166",".503",NA,".451","10.5","23.7",".225",NA,".501","14.1","77.2",".192",2015
"280","9","Houston Rockets","28.8","9","8",".529","7","10","106.6","109.0","-2.4","101.5",".440",".330",".544",NA,".505","13.5","23.8",".288",NA,".514","12.5","74.4",".210",2015
"281","10","Dallas Mavericks","30.4","1","4",".200","2","3","107.9","112.0","-4.1","101.9",".274",".265",".534",NA,".493","12.1","28.1",".209",NA,".520","12.4","75.1",".291",2015
"282","11","Brooklyn Nets","28.6","2","4",".333","2","4","100.8","106.5","-5.7","94.0",".251",".289",".522",NA,".486","13.4","21.0",".186",NA,".505","12.3","77.8",".161",2015
"283","12","Portland Trail Blazers","25.9","1","4",".200","1","4","101.9","109.3","-7.4","92.0",".258",".313",".504",NA,".455","11.1","22.2",".213",NA,".465","7.9","78.1",".254",2015
"284","13","New Orleans Pelicans","25.1","0","4",".000","1","3","106.8","115.2","-8.4","92.0",".264",".252",".536",NA,".491","12.6","24.9",".214",NA,".516","11.0","69.1",".211",2015
"285","14","Boston Celtics","24.6","0","4",".000","1","3","101.5","111.5","-10.0","93.3",".308",".260",".504",NA,".453","12.6","22.2",".239",NA,".498","11.8","71.9",".303",2015
"286","15","Milwaukee Bucks","24.8","2","4",".333","1","5","91.8","104.6","-12.8","93.1",".236",".206",".455",NA,".419","11.9","23.9",".166",NA,".504","15.7","73.5",".200",2015
"287","16","Toronto Raptors","25.9","0","4",".000","1","3","99.3","113.7","-14.4","94.5",".241",".283",".493",NA,".459","10.9","19.0",".173",NA,".547","13.3","73.0",".250",2015
"288","","League Average","27.7","","","","5","5","105.3","105.3","","94.4",".296",".302",".526",NA,".487","12.4","24.5",".214",NA,".487","12.4","75.5",".214",2015
"289","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2016
"290","1","San Antonio Spurs","30.7","6","4",".600","8","2","111.0","101.1","+9.9","91.9",".248",".232",".557",NA,".519","11.2","20.3",".199",NA,".467","14.2","71.7",".208",2016
"291","2","Cleveland Cavaliers","28.0","16","5",".762","16","5","115.5","106.0","+9.5","90.7",".267",".370",".573",NA,".544","12.0","26.8",".193",NA,".510","12.8","79.0",".189",2016
"292","3","Oklahoma City Thunder","25.6","11","7",".611","12","6","111.8","106.2","+5.6","95.2",".326",".295",".551",NA,".501","12.6","29.6",".256",NA,".499","11.5","78.7",".191",2016
"293","4","Golden State Warriors","27.4","15","9",".625","15","9","110.5","106.1","+4.4","97.0",".272",".379",".562",NA,".529","12.7","23.9",".200",NA,".481","13.1","72.4",".226",2016
